"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"24762","함안유현점","경상남도 함안군 군북면 국우로 135","","","35.3031407422358","128.345434353706","2022-12-14","","06:00","23:00",0,1,0,1,1,0,0,0,0,0,1,0,0,"2026-04-29","2026-04-29"
"24774","R목동중앙점","서울특별시 양천구 목동중앙본로20길 57","B1","","37.541098384638","126.872222715751","2022-12-22","","00:00","00:00",1,1,0,1,1,0,0,0,1,0,0,1,0,"2026-04-29","2026-04-29"
"24775","R전곡본점","경기도 연천군 전곡읍 전곡로 102","","","38.0218460380285","127.071490115447","2022-12-22","","00:00","00:00",1,1,0,1,1,0,1,0,0,0,1,0,0,"2026-04-29","2026-04-29"
"24779","양주이레점","경기도 양주시 평화로1576번길 24","","","37.8300259879096","127.055152505942","2022-12-05","","07:00","23:00",0,1,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24780","경주북군점","경상북도 경주시 북군길 98","","","35.8588771085116","129.262593968901","2022-12-01","","07:00","22:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24781","인천이비스호텔점","인천광역시 중구 제2터미널대로 340","1층 로비","","37.4811888289557","126.420150826134","2022-12-02","","00:00","00:00",1,0,0,1,1,0,0,0,1,0,0,0,0,"2026-04-29","2026-04-29"
"24782","부천샤인점","경기도 부천시 소향로 228","제상가동 제1층 제108, 제109호(중동, 미리내마을)","","37.5005187656553","126.772840550603","2022-12-03","","00:00","00:00",1,1,0,1,1,0,0,0,1,0,0,1,0,"2026-04-29","2026-04-29"
"24788","SMART정읍태성에너지점","전북특별자치도 정읍시 정우면 정읍대로 2498","","","35.6406479771568","126.917103460204","2022-12-02","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24798","천안성환명당점","충청남도 천안시 서북구 성환읍 천안대로 1746","","","36.8946791713485","127.136553583579","2022-12-09","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"24801","괴산청안점","충청북도 괴산군 청안면 청안읍내로2길 10","","","36.7714310144018","127.639758466562","2022-12-10","","05:00","23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
