code,title,sido,sigungu,lat,lng,first_seen_at,last_seen_at
00060,동대사랑점,서울특별시,중구,37.5615661736021,126.997217631805,2026-04-29,2026-04-29
00087,중림점,서울특별시,중구,37.5608187887289,126.968225883547,2026-04-29,2026-04-29
00115,광화문시대점,서울특별시,종로구,37.5737729016185,126.973125723031,2026-04-29,2026-04-29
00194,역촌타운점,서울특별시,은평구,37.6024569483723,126.914783949058,2026-04-29,2026-04-29
00204,동현주유소점,경기도,화성시,37.1271536520965,126.900970980565,2026-04-29,2026-04-29
00212,신정역점,서울특별시,양천구,37.5250200374681,126.85757787245,2026-04-29,2026-04-29
00258,센트럴시티점,서울특별시,서초구,37.5039351769908,127.002413006799,2026-04-29,2026-04-29
00279,강동본점,서울특별시,강동구,37.5361883008576,127.125589975399,2026-04-29,2026-04-29
00281,월계본점,서울특별시,노원구,37.6327129055073,127.043706201158,2026-04-29,2026-04-29
00307,메리어트점,서울특별시,서초구,37.5044921229104,127.007845270854,2026-04-29,2026-04-29
00326,대부도점,경기도,안산시,37.2882891573233,126.575993765126,2026-04-29,2026-04-29
00339,광운대역점,서울특별시,노원구,37.62350432752,127.061060877189,2026-04-29,2026-04-29
00367,안산한양대점,경기도,안산시,37.3011466397331,126.838298877265,2026-04-29,2026-04-29
00389,방학학마을점,서울특별시,도봉구,37.6672131243295,127.03922467304,2026-04-29,2026-04-29
00459,청주산남점,충청북도,청주시,36.6125969035843,127.464015820906,2026-04-29,2026-04-29
00523,수지희망점,경기도,용인시,37.3221767227926,127.095281509162,2026-04-29,2026-04-29
00542,내리점,경기도,안성시,36.9995896941081,127.222674051889,2026-04-29,2026-04-29
00545,간석점,인천광역시,남동구,37.4682906535805,126.707046423928,2026-04-29,2026-04-29
00581,목동공원점,서울특별시,양천구,37.5316029751694,126.875987719154,2026-04-29,2026-04-29
00603,부천오정점,경기도,부천시,37.5243093905319,126.785871604439,2026-04-29,2026-04-29
00737,안산초지점,경기도,안산시,37.3145186621399,126.820097509407,2026-04-29,2026-04-29
00752,여주태평점,경기도,여주시,37.2024431207681,127.545872581,2026-04-29,2026-04-29
00766,이마트24본점,서울특별시,성동구,37.5478007395623,127.064456729834,2026-04-29,2026-04-29
00795,사하국제점,부산광역시,사하구,35.1015976303553,128.976177117753,2026-04-29,2026-04-29
00826,성서방통대점,대구광역시,달서구,35.8590478601549,128.495642044333,2026-04-29,2026-04-29
