"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at","current_month_file"
"00060","동대사랑점","서울특별시 중구 퇴계로44길 8(필동2가)","","","37.5615661736021","126.997217631805","2008-01-28","","06:00","00:00",0,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2008/01"
"00087","중림점","서울특별시 중구 청파로 464(중림동)","브라운스톤","","37.5608187887289","126.968225883547","2008-02-16","","00:00","00:00",1,1,1,1,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2008/02"
"00115","광화문시대점","서울특별시 종로구 사직로8길 42(내수동, 광화문시대)","1층","","37.5737729016185","126.973125723031","2007-06-26","","00:00","00:00",1,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2007/06"
"00194","역촌타운점","서울특별시 은평구 연서로3길 8(역촌동)","","","37.6024569483723","126.914783949058","2010-07-08","","07:00","01:00",1,0,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2010/07"
"00204","동현주유소점","경기도 화성시 향남읍 3.1만세로 1015","","","37.1271536520965","126.900970980565","2010-11-29","","06:00","00:00",0,0,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2010/11"
"00212","신정역점","서울특별시 양천구 오목로 182","","","37.5250200374681","126.85757787245","2011-06-02","","00:00","00:00",1,1,1,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2011/06"
"00258","센트럴시티점","서울특별시 서초구 신반포로 176","1층 124호","","37.5039351769908","127.002413006799","2013-11-05","","00:00","00:00",1,0,0,1,1,0,1,0,0,0,0,0,0,"2026-04-29","2026-04-29","2013/11"
"00279","강동본점","서울특별시 강동구 천호옛길 84","","","37.5361883008576","127.125589975399","2014-04-05","","00:00","00:00",1,0,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/04"
"00281","월계본점","서울특별시 노원구 덕릉로 60길 182","","","37.6327129055073","127.043706201158","2014-04-16","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/04"
"00307","메리어트점","서울특별시 서초구 사평대로 205(반포동)","BP4-10호","","37.5044921229104","127.007845270854","2014-06-12","","00:00","00:00",1,1,0,1,1,0,0,0,0,0,1,0,0,"2026-04-29","2026-04-29","2014/06"
"00326","대부도점","경기도 안산시 단원구 대부황금로 1505-1(대부북동)","","","37.2882891573233","126.575993765126","2014-07-25","","06:00","22:00",1,0,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/07"
"00339","광운대역점","서울특별시 노원구 석계로 98-1(월계동)","","","37.62350432752","127.061060877189","2014-07-25","","06:00","01:00",0,0,1,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/07"
"00367","안산한양대점","경기도 안산시 상록구 성안길 84-2(사동)","유원빌딩 102호","","37.3011466397331","126.838298877265","2014-08-31","","00:00","00:00",1,1,1,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/08"
"00389","방학학마을점","서울특별시 도봉구 도당로 115(방학동)","","","37.6672131243295","127.03922467304","2014-09-25","","06:00","00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/09"
"00459","청주산남점","충청북도 청주시 서원구 두꺼비로 91","산남퀸덤아파트상가 105호","","36.6125969035843","127.464015820906","2014-10-13","","07:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/10"
"00523","수지희망점","경기도 용인시 수지구 수지로296번길 51-11(풍덕천동)","","","37.3221767227926","127.095281509162","2014-12-08","","08:00","23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/12"
"00542","내리점","경기도 안성시 대덕면 내리6길 24","","","36.9995896941081","127.222674051889","2014-10-31","","00:00","00:00",1,0,1,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/10"
"00545","간석점","인천광역시 남동구 동암남로 34번길 50","","","37.4682906535805","126.707046423928","2014-11-03","","06:00","01:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/11"
"00581","목동공원점","서울특별시 양천구 목동서로 133-2(목동)","목동하나프라자 107호","","37.5316029751694","126.875987719154","2014-11-30","","07:00","01:00",0,0,0,0,0,0,0,1,0,0,0,0,0,"2026-04-29","2026-04-29","2014/11"
"00603","부천오정점","경기도 부천시 상오정로17","","","37.5243093905319","126.785871604439","2014-11-28","","00:00","00:00",1,0,0,1,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/11"
"00737","안산초지점","경기도 안산시 단원구 신촌4길 41","","","37.3145186621399","126.820097509407","2014-12-29","","00:00","00:00",1,0,1,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/12"
"00752","여주태평점","경기도 여주시 가남읍 태평중앙2길 6-1","","","37.2024431207681","127.545872581","2014-12-31","","09:00","00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2014/12"
"00766","이마트24본점","서울특별시 성동구 광나루로 310","푸조비즈타워 101호","","37.5478007395623","127.064456729834","2015-01-20","","00:00","00:00",1,1,1,1,1,0,1,0,1,0,1,1,0,"2026-04-29","2026-04-29","2015/01"
"00795","사하국제점","부산광역시 사하구 동매로 167","1층 105호","","35.1015976303553","128.976177117753","2015-02-14","","06:00","00:00",1,1,1,1,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2015/02"
"00826","성서방통대점","대구광역시 달서구  선원로 30 (신당동)","","","35.8590478601549","128.495642044333","2015-02-27","","00:00","00:00",1,1,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2015/02"
"00833","전북대원룸점","전북특별자치도 전주시 덕진구  금암5길 25","","","35.8393284053797","127.135448230682","2015-02-28","","00:00","00:00",1,1,0,1,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2015/02"
"00836","보령남포로드점","충청남도 보령시 남포면 보령남로 213","","","36.3261996748914","126.602641026225","2015-02-28","","07:00","00:00",0,0,1,0,1,0,0,1,0,0,0,0,0,"2026-04-29","2026-04-29","2015/02"
"00843","고양중부대점","경기도 고양시 덕양구 동헌로 305(대자동)","3층(대자동,세종관)","","37.7137682673659","126.888618095364","2015-02-27","","08:00","10:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2015/02"
"00872","성서주공점","대구광역시 달서구 신당로 59","성서2주공아파트 1층상가 103호","","35.8537763579924","128.498758213206","2015-03-28","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2015/03"
"00884","원주연대점","강원특별자치도 원주시 흥업면 매남동길 3","","","37.2752016732282","127.907333774108","2015-03-29","","00:00","00:00",1,0,0,0,0,0,0,0,1,0,0,0,0,"2026-04-29","2026-04-29","2015/03"
"00897","가산GBC점","서울특별시 금천구 가산디지털1로 165(가산동)","101호","","37.4802275551346","126.881027516845","2015-04-13","","00:00","00:00",1,0,0,1,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2015/04"
"00926","바람의언덕점","경상남도 거제시 남부면 해금강로 124","","","34.7404878179156","128.663029314117","2015-04-25","","08:00","23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2015/04"
"00936","김포올림픽점","경기도 김포시 고촌읍 벌말로 768-70","","","37.5892715783032","126.799853627088","2015-04-30","","05:00","23:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2015/04"
