code,title,sido,sigungu,lat,lng,first_seen_at,last_seen_at
V1018,GS25잠실구장점,서울,송파구,37.5113671128104,127.07153621778,2026-04-30,2026-04-30
V1019,GS25잠실1루점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1020,GS25잠실3루점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1029,GS25잠실경기장점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1049,GS25강남동원점,서울,강남구,37.5069168418451,127.054591344246,2026-04-30,2026-04-30
V1119,GS25건국점,서울,광진구,37.5456530862193,127.076249474139,2026-04-30,2026-04-30
V1130,GS25지에스강남점,서울,강남구,37.5017726227389,127.036820463742,2026-04-30,2026-04-30
V1202,GS25서울월드컵경기장점,서울,마포구,37.5683127572816,126.897331323498,2026-04-30,2026-04-30
V1203,GS25서울월드컵광장점,서울,마포구,37.5696437039247,126.898987083681,2026-04-30,2026-04-30
V1242,GS25잠실보조2점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1243,GS25잠실보조5점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1247,GS25부평중앙점,인천,부평구,37.4925600712766,126.725846855677,2026-04-30,2026-04-30
V1258,GS25잠실야구장점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1344,GS25드라마PPL점,경기,파주시,37.7565862824492,126.744566524048,2026-04-30,2026-04-30
V135,GS25역삼2점,서울,강남구,37.4941210412481,127.035516318398,2026-04-30,2026-04-30
V1649,GS25마산합성점,경남,창원시,35.237794604883,128.58473288088,2026-04-30,2026-04-30
V1658,GS25덕천점,부산,북구,35.21000911868,129.006933258338,2026-04-30,2026-04-30
V1810,GS25제주노형점,제주,제주시,33.4878829379448,126.482158884611,2026-04-30,2026-04-30
V1824,GS25창원경상대병원점,경남,창원시,35.1992500368761,128.70773762877,2026-04-30,2026-04-30
V1831,GS25대불중앙점(삭제예정),전남,영암군,34.75448962,126.45586979,2026-04-30,2026-04-30
V1846,GS25기장원자력의학원점,부산,기장군,35.3214859426991,129.243603111447,2026-04-30,2026-04-30
V1848,GS25기장의학원위성점,부산,기장군,35.3214859426991,129.243603111447,2026-04-30,2026-04-30
V1880,S2상왕십리역점,서울,성동구,37.5643458955156,127.029632456366,2026-04-30,2026-04-30
V1882,S4동작역점,서울,동작구,37.5028845711214,126.980278831646,2026-04-30,2026-04-30
V1884,GS25서울월드컵경기장2점,서울,마포구,37.5683127572816,126.897331323498,2026-04-30,2026-04-30
V1904,GS25상무본점,광주,서구,35.1541041283974,126.849386860156,2026-04-30,2026-04-30
V1918,GS25광주공항점,광주,광산구,35.1404490491835,126.810228335066,2026-04-30,2026-04-30
V1948,GS25강서LG사이언스점,서울,강서구,37.5635477219576,126.835475064697,2026-04-30,2026-04-30
V1957,GS25외야1루점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1958,GS25외야3루점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1959,GS25보조1점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1960,GS25보조3점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1961,GS25보조4점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1962,GS25보조6점,서울,송파구,37.5164471414021,127.073588738201,2026-04-30,2026-04-30
V1980,GS25한화리조트거제점,경남,거제시,35.0128479101864,128.706968548153,2026-04-30,2026-04-30
V1984,GS25거제장평점,경남,거제시,34.892541816556,128.610366166995,2026-04-30,2026-04-30
