"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at"
"26817","밀양예림점","경상남도 밀양시 상남면 밀양대로 1531-1","","","35.4677762602118","128.760580127272","2023-10-18","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"26876","R광주각화점","광주광역시 북구 동문대로249번길 7","상가동 101호","","35.183806019298","126.930810464267","2023-10-13","","00:00","00:00",1,1,1,1,1,0,0,0,0,0,1,1,0,"2026-04-29","2026-04-29"
"26885","화성덕신상가점","경기도 화성시 정남면 만년로 421","","","37.1592923948035","126.98198223044","2023-10-20","","06:00","01:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"26887","장흥타운점","경기도 양주시 장흥면 권율로89번길 68","","","37.7222941863805","126.944925881445","2023-10-06","","07:00","01:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"26890","내포가람점","충청남도 홍성군 홍북읍 홍예로 164","상가동 1 ,2 호","","36.6417072046019","126.679935670998","2023-10-06","","00:00","00:00",1,0,0,1,1,0,0,0,1,0,0,0,0,"2026-04-29","2026-04-29"
"26898","R노원은빛1단지점","서울특별시 노원구 동일로245길 162","지하 1층","","37.6808384621835","127.0542198702","2023-10-09","","00:00","00:00",1,1,0,1,1,0,0,0,1,0,1,1,0,"2026-04-29","2026-04-29"
"26900","R스카이가족점","인천광역시 중구 흰바위로 277","","","37.4803600899183","126.505956243075","2023-10-04","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,1,0,0,"2026-04-29","2026-04-29"
"26905","여의도공원4호점","서울특별시 영등포구 여의공원로 68","","","37.5268088229325","126.922284053463","2023-10-06","","07:00","22:00",0,0,0,0,0,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"26908","R마포망원로점","서울특별시 마포구 망원로3길 34","","","37.5581824603591","126.901008863615","2023-10-13","","00:00","00:00",1,1,0,0,1,0,1,0,1,0,0,1,0,"2026-04-29","2026-04-29"
"26909","포항이동중앙점","경상북도 포항시 남구 대이로83번길 6","","","36.0227413745939","129.33991955294","2023-10-08","","06:00","00:00",0,1,0,1,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"26911","용인삼가빌리지점","경기도 용인시 처인구 중부대로 1123","","","37.2411993259722","127.170650527563","2023-10-04","","06:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"26914","안양한마음점","경기도 안양시 동안구 경수대로797번길 26","1층 101호","","37.3904481820743","126.943932588699","2023-10-06","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"26916","울산대학로점","울산광역시 남구 대학로76번길 7-2","1층","","35.5413929925355","129.259953965631","2023-10-04","","00:00","00:00",1,0,0,0,1,0,1,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"26928","R전북대점","전북특별자치도 전주시 덕진구 권삼득로 346","","","35.8458346746076","127.125047612004","2023-10-14","","00:00","00:00",1,1,0,1,1,0,0,0,1,0,0,1,0,"2026-04-29","2026-04-29"
"26935","홍성금마로드점","충청남도 홍성군 금마면 충서로 1900","","","36.6091028618211","126.701674052651","2023-10-16","","07:00","22:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
"26938","철길숲점","경상북도 포항시 북구 양학로10번길 22-1","","","36.0264854248239","129.352881900062","2023-10-10","","00:00","00:00",1,1,0,1,1,0,1,0,1,0,0,1,0,"2026-04-29","2026-04-29"
"26945","평촌현대제우스점","경기도 안양시 동안구 경수대로 563","101-1호","","37.3730163487583","126.957090474084","2023-10-11","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29"
"26946","광주장지행복점","경기도 광주시 절골길 19","","","37.4018910567206","127.234721237195","2023-10-16","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29"
